dept,siren,epci_nom,i005,i006,i010,i012,i015,i017,i032,i033,i034,i035,i036,i037,i038,i043,i044,i047,i048,i049,i051,i052,i053,i054,i056,i057,i058,i064,i065,i066,i067,i068,i069,i070,i071,i072,i073,i077,i083,i084,i085,i086,i087,i089,i094,i095,i096,i097,i106,i108,i110,i111,i112,i113,i114,i115,i119,i126,i127,i128,i129,i130,i131,i134,i135,i142,i147,i148,i149,i150,i151,i156,i157,i158,i161,i162,i164
53,200048551,CC du Pays de Craon,100.0,100.0,16.67,64.0,,100.0,75.0,40.93,49.44,100.0,0.0,0.0,46.51,41.09,58.08,26.52,0.0,48.47,33.71,1.61,0.0,0.3,39.2,0.33,100.0,13.33,0.0,31.71,6.55,2.22,0.0,23.29,0.0,0.0,0.0,48.15,24.77,24.71,22.44,0.0,39.66,43.38,60.51,5.56,0.0,59.96,0.0,35.65,0.0,99.98,6.29,100.0,61.71,0.0,61.54,73.31,56.06,60.6,31.19,99.67,72.42,57.14,47.09,65.07,52.52,37.79,98.31,100.0,68.97,100.0,42.1,71.96,56.0,48.57,45.03
53,200055887,CC Mayenne Communauté,79.17,69.14,33.33,96.2,88.38,0.0,75.0,48.9,53.93,96.0,6.52,100.0,40.12,50.55,48.36,46.09,56.52,47.24,25.62,0.0,0.0,0.6,85.02,10.44,100.0,0.0,53.57,17.54,16.84,57.78,36.12,23.29,0.0,0.0,54.56,10.71,26.16,33.24,32.05,0.0,23.1,43.38,59.16,4.72,100.0,49.9,0.0,35.65,0.0,95.03,1.14,100.0,67.53,0.0,46.15,63.82,61.36,62.58,31.99,88.67,54.6,55.36,41.47,100.0,44.71,67.4,69.49,100.0,65.52,50.0,55.38,78.37,48.0,48.57,48.32
53,200083392,CA Laval Agglomération,95.75,89.4,33.33,19.09,,0.0,50.0,43.63,58.99,100.0,86.34,100.0,60.47,57.64,34.47,77.86,84.51,50.92,34.22,48.39,0.0,1.21,100.0,20.87,100.0,40.0,94.64,31.48,15.15,41.85,55.94,23.29,0.0,0.0,0.0,0.0,22.68,39.56,48.08,0.0,49.74,43.38,61.34,20.0,100.0,61.69,0.0,70.46,0.0,91.11,6.36,100.0,66.35,0.0,46.15,58.69,56.82,60.93,19.01,90.0,49.66,50.0,69.98,100.0,37.38,65.31,100.0,100.0,,0.0,52.72,66.52,70.0,48.57,43.71
53,245300223,CC du Pays de Meslay-Grez,90.28,100.0,5.56,66.18,,0.0,75.0,47.79,51.12,92.67,0.0,0.0,49.42,37.82,62.88,0.0,0.0,49.08,25.62,0.0,0.0,0.3,33.61,1.89,0.0,6.67,35.71,0.35,15.31,24.44,5.49,23.29,0.0,0.0,0.0,34.27,25.03,21.62,15.38,0.0,30.63,43.38,60.62,6.94,0.0,56.6,0.0,27.22,0.0,98.15,4.95,100.0,60.26,0.0,53.85,76.54,63.64,62.91,33.07,84.33,71.77,57.14,57.53,33.28,17.95,36.33,100.0,64.54,65.52,0.0,41.57,78.26,88.0,48.57,46.74
53,245300355,CC de l'Ernée,100.0,100.0,37.5,77.09,87.5,24.49,75.0,47.06,48.6,98.67,0.0,0.0,38.37,28.73,62.5,29.46,0.18,47.24,27.0,11.29,0.0,0.4,10.36,3.03,0.0,0.0,14.29,23.81,8.96,6.67,10.89,23.29,0.0,100.0,0.0,53.05,30.13,30.59,12.18,0.0,24.84,43.38,60.11,35.0,0.0,63.49,0.0,30.38,0.0,96.16,0.0,100.0,69.62,0.0,69.23,70.66,59.47,70.53,33.6,88.67,45.79,57.14,36.75,49.59,49.86,48.96,0.0,100.0,68.97,100.0,51.66,79.57,56.0,48.57,52.26
53,245300389,CC du Bocage Mayennais,100.0,100.0,26.39,76.91,87.42,0.0,75.0,44.12,39.04,48.0,0.0,0.0,29.07,32.36,59.47,0.14,0.0,46.01,36.63,0.0,0.0,0.2,23.47,2.04,55.54,0.0,3.57,43.09,8.9,0.74,4.34,23.29,0.0,100.0,6.21,34.53,29.17,29.12,23.4,0.0,75.16,43.38,51.17,27.5,0.0,47.43,0.0,30.38,0.0,95.61,0.92,100.0,71.88,0.0,84.62,67.43,45.08,61.26,35.74,58.67,61.63,53.57,38.96,86.49,20.62,48.78,69.87,100.0,72.41,100.0,41.83,81.09,0.0,48.57,46.13
53,245300447,CC du Pays de Château-Gontier,75.95,100.0,18.06,76.58,,0.0,75.0,48.04,56.74,100.0,18.33,0.0,59.3,48.18,43.43,42.79,55.13,53.68,31.47,35.48,0.0,0.7,19.87,10.38,100.0,33.33,67.86,21.02,8.74,28.52,14.5,23.29,0.0,0.0,0.0,24.49,25.88,35.15,32.37,0.0,21.13,43.38,56.15,0.0,100.0,37.17,1.75,51.48,0.0,98.72,9.58,100.0,57.88,0.0,53.85,67.81,62.5,62.58,21.95,100.0,65.95,55.36,61.35,90.77,53.57,72.01,100.0,100.0,71.26,100.0,45.29,74.57,46.0,48.57,47.1
54,200035772,CC du Pays du Saintois,,,50.0,,,0.0,75.0,34.93,49.16,100.0,0.0,0.0,40.12,46.73,50.88,27.79,0.0,54.6,15.82,8.06,0.0,0.8,100.0,10.63,69.98,46.67,100.0,15.68,23.09,34.81,48.08,60.9,11.11,100.0,0.0,83.56,34.08,52.06,75.96,0.0,100.0,34.52,58.04,25.28,0.0,49.92,15.79,6.12,0.0,97.98,4.84,100.0,64.03,0.0,69.23,76.54,71.21,64.24,48.86,12.33,52.13,55.36,68.37,0.0,54.05,18.36,0.0,0.0,,100.0,17.4,0.0,66.0,60.36,64.06
54,200041515,CC du Bassin de Pont-à-Mousson,36.99,79.07,50.0,92.91,4.17,24.45,50.0,59.31,50.56,100.0,37.62,0.0,46.51,58.36,18.06,81.05,89.11,57.36,35.6,0.0,0.0,0.91,85.51,17.25,60.6,93.33,98.21,41.7,45.71,33.7,44.96,60.9,58.73,0.0,100.0,15.86,29.16,41.32,15.38,0.0,16.91,34.52,47.56,0.0,100.0,56.95,38.6,79.96,0.0,48.57,0.0,71.79,55.44,0.0,53.85,69.71,52.65,54.64,19.81,47.33,34.86,50.0,22.19,59.8,64.19,77.16,13.56,44.77,59.77,50.0,34.66,3.48,70.0,60.36,57.39
54,200043693,CC Terre Lorraine du Longuyonnais,29.95,59.84,56.94,0.0,3.99,0.0,75.0,44.61,34.27,100.0,0.0,0.0,36.63,43.64,21.97,20.33,27.14,48.47,17.88,0.0,0.0,0.1,100.0,14.5,0.0,6.67,100.0,12.2,31.74,3.7,18.26,60.9,41.53,100.0,0.0,81.71,5.67,61.47,61.54,0.0,0.0,34.52,34.99,0.0,0.0,30.22,66.67,30.38,0.0,94.01,0.0,100.0,45.18,0.0,61.54,73.31,44.7,51.99,38.82,0.0,25.63,37.5,27.31,0.0,50.29,43.57,0.0,0.0,67.82,100.0,8.37,34.46,58.0,60.36,63.45
54,200067643,CC Meurthe Mortagne Moselle,0.0,63.0,50.0,0.0,0.0,0.0,75.0,40.0,50.28,100.0,24.32,29.23,55.23,46.36,32.45,50.11,19.2,57.06,23.9,0.0,0.0,0.6,100.0,12.32,1.98,0.0,92.86,37.28,18.65,55.19,37.59,60.9,33.6,100.0,0.0,65.28,24.46,63.24,41.03,0.0,64.91,34.52,53.24,17.22,0.0,57.1,35.09,52.53,0.0,97.78,7.84,100.0,59.18,0.0,61.54,75.97,64.77,49.01,39.09,64.0,48.88,55.36,49.5,0.0,30.0,49.74,0.0,0.0,59.77,100.0,28.29,0.0,72.0,60.36,63.1
54,200069433,CC de Vezouze en Piémont,57.35,46.68,50.0,10.99,45.44,0.0,75.0,38.24,21.63,68.0,0.0,0.0,18.02,33.45,51.39,10.18,0.0,41.41,28.89,12.9,0.0,0.0,100.0,4.55,0.0,20.0,0.0,27.29,32.51,32.22,0.0,60.9,100.0,100.0,0.0,75.8,28.55,44.56,64.42,0.0,55.88,34.52,33.96,63.33,0.0,41.77,64.91,13.5,0.0,92.36,13.61,64.7,75.35,2.57,61.54,66.29,34.85,37.09,50.87,0.0,58.7,50.0,39.26,30.64,3.38,27.34,0.0,0.0,67.82,100.0,0.0,15.22,12.0,60.36,48.94
54,200070290,CC Coeur du Pays Haut,48.32,76.32,52.78,31.58,7.55,81.5,50.0,49.02,33.71,100.0,0.0,0.0,33.14,38.55,20.71,76.56,52.54,47.24,15.65,0.0,0.0,0.4,57.35,16.16,0.0,0.0,100.0,46.57,35.14,37.04,13.51,60.9,13.23,100.0,0.0,70.56,12.56,69.26,55.77,0.0,38.56,34.52,38.13,26.39,0.0,50.13,73.68,11.39,0.0,77.05,4.15,100.0,48.68,0.0,61.54,73.88,35.61,46.03,25.03,0.0,32.03,33.93,16.37,0.0,62.67,52.5,0.0,0.0,63.22,100.0,11.02,27.17,74.0,60.36,59.55
