ID_indicateurs,Libellé_indicateurs,Type_Sources,Question à choix unique,Unités_indicateurs,Valeur_min_controle,Valeur_max_controle,Type de bornage,Coef K,Valeur-borne Score=0,Valeur-borne Score=100,Justif Score=0,Justif Score=100,Valeur médiane,Commentaire Valeur médiane,Valeur-intermédiaire Score=20,Valeur-intermédiaire Score=33,Valeur-intermédiaire Score=40,Valeur-intermédiaire Score=50,Valeur-intermédiaire Score=60,Valeur-intermédiaire Score=66,Valeur-intermédiaire Score=80
i072,Nombre d'établissements industriels dépassant les seuils de déclaration d'émission de polluants atmosphériques pour 100.000 habitants,Donnée ouverte,Non,/ 100 000 hab,0,100000,Mixte,,"12,4",0,2x la moyenne nationale,valeur absolue,"6,2","Estimation du nombre moyen d'établissements en autorisation ou enregistrement ICPE pour 10.000 hab : 6,176.",,,,,,,
i073,Part du territoire en zone protégée,Donnée ouverte,Non,%,0,100,Mixte,,0,"52,6",Pire valeur possible,2x la moyenne,"26,8","Moyenne france metro : 16 968 600 ha / 63 270 440 ha x 100 = 26,8%",,,,,,,
i074,Nombre de jours d'épisode de pollution de l'air par an,Donnée interne,Non,jours,0,/,Mixte,,12,0,"Soit un jour par mois. En 2023 : N-A = 7, HdF = 9, GE = 12, Isère 22j, Hte Savoie 19j, Rhone 14",Objectif absolu,,,,,,,,,
i075,Existence d’un coefficient de biotope ou de pleine terre dans le plan local d’urbanisme intercommunal ou dans chaque PLU,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,En cours d'élaboration,Oui sur une minorité du territoire,,Oui sur la moitié du territoire,,Oui sur une majorité du territoire,
i076,"Cartographie des sentiers de randonnée et espaces naturels accessibles au public (Plan de randonnée, SIG...)",Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,En cours d'élaboration,Oui sur une minorité du territoire,,Oui sur la moitié du territoire,,Oui sur une majorité du territoire,
i077,Part de la surface du territoire consommée entre 2009 et 2021,Donnée ouverte,Non,%,0,100,Mixte,,3,0,"Seuls 7 EPCI ont consommé plus de 3% de leur surface totale entre 2009 et 2021. Ce chiffe de 3% est considéré ici comme un seuil haut.

Détails : 
CA Val Europe : 9,05%
Henin Carvin. 5,03%
Marne et Gondoire : 4,82%
Toulouse Met : 3,74%
Coteaux Bellevue : 3,62%
Gd Paris Sud Seine Essonne Sénart : 3,58%
Paris Saclay : 3,46%

Source : Croisement de données à partir de datagouv
https://www.data.gouv.fr/datasets/consommation-despaces-naturels-agricoles-et-forestiers-du-1er-janvier-2009-au-1er-janvier-2021-coenaf-2009-2021/?utm_source=chatgpt.com",Objectif ZAN : 0% nets d'ici 2050,,,,,,,,,
i078,Part des communes couvertes par un Atlas de la Biodiversité Communale (ABC),Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i079,"Identification d'un agent-référent sur les enjeux des espaces verts, des milieux naturels et de la biodiversité",Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i080,"Identification d'un élu-référent sur les enjeux des espaces verts, des milieux naturels et de la biodiversité",Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i081,Existence d'un document-cadre intercommunal pour la protection de la biodiversité,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i082,Existence d'un document-cadre en matière d'économie circulaire,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
